What is your current class standing?,Are you interested in applying to the Informatics major?,What operating system do you typically use?,Using the command-line / terminal,Using git for version control,Creating documents with Markdown,Using the R programming language,"How would you describe your coding/programmingexperience?",How many countries have you visited in your life?,Were you born in Washington state?,How many siblings do you have?,How many inches tall are you?,Do you consider yourself:,Are you a Seahawks fan?
Junior,Maybe,Mac,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,10,No,5,70,A dog person...,YES!
Junior,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,Yes,1,70,Neither,No
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,No,2,71,A dog person...,Yes
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,2,58,Both!,No
Sophomore,Maybe,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,7,No,1,65,A dog person...,Yes
Sophomore,Maybe,Mac,Have used it a few times,Never used it,Never used it,Never used it,Never written code,17,No,0,70,Neither,Yes
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,No,3,72,Both!,No
Junior,Already in the major,Mac,Have used it a few times,Have used it a few times,Have used it a few times,Have used it a few times,Experimented a bit with simple programming,111,No,0,62,A dog person...,No
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,No,,80,A dog person...,Yes
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,No,0,511,A cat person....,No
Sophomore,Maybe,Other: All of the above,Intermediate user,Intermediate user,Intermediate user,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,1,0,Neither,No
Sophomore,Maybe,Other: Both Windows and GNU/Linux,Intermediate user,Intermediate user,Expert user,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,No,0,68,Neither,No
Sophomore,Yes,Windows,Never used it,Never used it,Have used it a few times,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",12,Yes,1,62,A dog person...,Yes
Sophomore,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,No,2,62,Both!,Yes
Junior,No,Mac,Never used it,Never used it,Never used it,Have used it a few times,Experimented a bit with simple programming,8,Yes,0,64,A dog person...,Yes
Freshman,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,No,2,72,Both!,No
